127.0.0.1 - - [10/May/2022:11:10:11 +0200] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [10/May/2022:11:10:21 +0200] "GET /ticket-app/ HTTP/1.1" 200 4998
0:0:0:0:0:0:0:1 - - [10/May/2022:11:10:22 +0200] "GET /ticket-app/zkau/web/a8c4997f/js/zkbind.wpd;jsessionid=4F82F4C953682E7CF6B5266AB9107D46 HTTP/1.1" 200 1498
0:0:0:0:0:0:0:1 - - [10/May/2022:11:10:25 +0200] "GET /ticket-app/zkau/web/a8c4997f/js/zk.wpd;jsessionid=4F82F4C953682E7CF6B5266AB9107D46 HTTP/1.1" 200 120701
0:0:0:0:0:0:0:1 - - [10/May/2022:11:10:26 +0200] "GET /ticket-app/assets/css/style.css;jsessionid=4F82F4C953682E7CF6B5266AB9107D46 HTTP/1.1" 200 27185
0:0:0:0:0:0:0:1 - - [10/May/2022:11:10:26 +0200] "GET /ticket-app/assets/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2022:11:10:26 +0200] "GET /ticket-app/assets/vendor/bootstrap-icons/bootstrap-icons.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2022:11:10:26 +0200] "GET /ticket-app/assets/vendor/boxicons/css/boxicons.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2022:11:10:26 +0200] "GET /ticket-app/assets/vendor/glightbox/css/glightbox.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2022:11:10:27 +0200] "GET /ticket-app/assets/vendor/remixicon/remixicon.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2022:11:10:27 +0200] "GET /ticket-app/assets/vendor/swiper/swiper-bundle.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2022:11:10:27 +0200] "GET /ticket-app/assets/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2022:11:10:27 +0200] "GET /ticket-app/zkau/web/a8c4997f/js/zul.lang.wpd;jsessionid=4F82F4C953682E7CF6B5266AB9107D46 HTTP/1.1" 200 1540
0:0:0:0:0:0:0:1 - - [10/May/2022:11:10:27 +0200] "GET /ticket-app/js/jquery.min.js;jsessionid=4F82F4C953682E7CF6B5266AB9107D46 HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [10/May/2022:11:10:27 +0200] "GET /ticket-app/js/popper.js;jsessionid=4F82F4C953682E7CF6B5266AB9107D46 HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [10/May/2022:11:10:27 +0200] "GET /ticket-app/js/bootstrap.min.js;jsessionid=4F82F4C953682E7CF6B5266AB9107D46 HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [10/May/2022:11:10:27 +0200] "GET /ticket-app/js/main.js;jsessionid=4F82F4C953682E7CF6B5266AB9107D46 HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [10/May/2022:11:10:27 +0200] "GET /ticket-app/assets/vendor/purecounter/purecounter.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2022:11:10:27 +0200] "GET /ticket-app/assets/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2022:11:10:27 +0200] "GET /ticket-app/assets/vendor/glightbox/js/glightbox.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2022:11:10:27 +0200] "GET /ticket-app/assets/vendor/isotope-layout/isotope.pkgd.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2022:11:10:27 +0200] "GET /ticket-app/assets/vendor/swiper/swiper-bundle.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2022:11:10:27 +0200] "GET /ticket-app/assets/vendor/php-email-form/validate.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2022:11:10:28 +0200] "GET /ticket-app/assets/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2022:11:10:28 +0200] "GET /ticket-app/assets/img/clients/client-1.png HTTP/1.1" 304 -
