127.0.0.1 - - [03/Jun/2022:09:21:18 +0200] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [03/Jun/2022:09:21:37 +0200] "GET /ticket-app/ HTTP/1.1" 200 4943
0:0:0:0:0:0:0:1 - - [03/Jun/2022:09:21:45 +0200] "GET /ticket-app/zkau/web/a8c4997f/js/zul.lang.wpd;jsessionid=FFA30E233D6512B59C34D0736F0E09A1 HTTP/1.1" 200 1540
0:0:0:0:0:0:0:1 - - [03/Jun/2022:09:21:45 +0200] "GET /ticket-app/zkau/web/a8c4997f/js/zk.wpd;jsessionid=FFA30E233D6512B59C34D0736F0E09A1 HTTP/1.1" 200 120701
0:0:0:0:0:0:0:1 - - [03/Jun/2022:09:21:48 +0200] "GET /ticket-app/assets/css/style.css;jsessionid=FFA30E233D6512B59C34D0736F0E09A1 HTTP/1.1" 200 27185
0:0:0:0:0:0:0:1 - - [03/Jun/2022:09:21:49 +0200] "GET /ticket-app/assets/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 163873
0:0:0:0:0:0:0:1 - - [03/Jun/2022:09:21:50 +0200] "GET /ticket-app/assets/vendor/bootstrap-icons/bootstrap-icons.css HTTP/1.1" 200 73271
0:0:0:0:0:0:0:1 - - [03/Jun/2022:09:21:51 +0200] "GET /ticket-app/assets/vendor/boxicons/css/boxicons.min.css HTTP/1.1" 200 63781
0:0:0:0:0:0:0:1 - - [03/Jun/2022:09:21:52 +0200] "GET /ticket-app/assets/vendor/glightbox/css/glightbox.min.css HTTP/1.1" 200 13785
0:0:0:0:0:0:0:1 - - [03/Jun/2022:09:21:52 +0200] "GET /ticket-app/assets/vendor/remixicon/remixicon.css HTTP/1.1" 200 110438
0:0:0:0:0:0:0:1 - - [03/Jun/2022:09:21:52 +0200] "GET /ticket-app/zkau/web/a8c4997f/zul/css/zk.wcs;jsessionid=FFA30E233D6512B59C34D0736F0E09A1 HTTP/1.1" 200 19863
0:0:0:0:0:0:0:1 - - [03/Jun/2022:09:21:53 +0200] "GET /ticket-app/assets/vendor/swiper/swiper-bundle.min.css HTTP/1.1" 200 15563
0:0:0:0:0:0:0:1 - - [03/Jun/2022:09:21:53 +0200] "GET /ticket-app/assets/css/style.css HTTP/1.1" 200 27185
